Country,Experience_Years,Salary,Number_of_Projects,Performance_Score,Education_Level,Certification_Status
Brazil,11,80030.51479508661,46,85.48525450984319,Diploma,Not Certified
China,3,65064.31805072419,48,89.53400199819953,Master's,Not Certified
China,15,121196.53437678353,45,74.50024906739884,PhD,Not Certified
UK,7,81521.13079238217,22,82.52298265038417,Master's,Not Certified
UK,20,141867.14492870853,18,63.93925848038738,PhD,Not Certified
France,20,93928.31732157386,3,61.51067848049882,Bachelor's,Not Certified
France,16,104337.40087293816,33,71.14788839659472,Master's,Not Certified
South Africa,13,114051.71499903563,6,58.09615702877333,PhD,Not Certified
Germany,0,53778.98726651714,50,61.70212501301781,Bachelor's,Not Certified
India,0,52454.32862899659,27,79.43170203991077,Bachelor's,Certified
UK,2,71365.14046289865,36,56.26890152695052,PhD,Certified
India,1,55530.60482811182,5,55.314566637622136,Bachelor's,Certified
South Africa,8,80781.21307229447,33,83.28559733644543,Bachelor's,Not Certified
USA,6,62123.226551474094,8,56.37380879503256,Bachelor's,Certified
South Africa,13,116486.03540727858,38,62.434876063155585,PhD,Certified
UK,3,70165.49497149853,6,61.37467161285001,Master's,Certified
China,3,81303.57747066168,40,54.98505903841999,PhD,Certified
UK,9,106783.28360106086,10,84.50032671208062,PhD,Not Certified
Canada,5,103880.88031919216,37,99.83048960179505,PhD,Certified
Brazil,17,112364.53356377236,7,65.27065852275132,Master's,Not Certified
UK,12,105158.16023157853,32,62.493410430961895,Master's,Not Certified
Brazil,9,92058.60087189746,23,65.27916728390069,Master's,Certified
Australia,9,94517.34512104589,21,69.36527698568312,Master's,Not Certified
UK,12,103629.16626086207,9,86.19044790511194,PhD,Not Certified
South Africa,18,128074.60205488723,33,87.93223173107916,PhD,Certified
India,7,55771.784131411696,8,66.35835879019389,Bachelor's,Not Certified
Australia,15,71986.82973120692,46,83.22500422495504,Diploma,Certified
Canada,15,78434.30587657655,39,55.96434426218257,Diploma,Not Certified
Canada,14,66150.08620815263,27,88.2494902825831,Diploma,Not Certified
South Africa,20,116985.67025918292,26,83.46233408622227,Master's,Not Certified
UK,16,74863.62952630117,25,93.22512988529553,Diploma,Certified
USA,5,70115.51642990678,18,74.95519587634513,Master's,Certified
Australia,10,65092.01985033591,7,89.32696297058587,Diploma,Not Certified
South Africa,20,71865.78126020594,20,72.0326330816002,Diploma,Certified
Germany,6,86089.73147583386,24,87.96369161693458,PhD,Certified
Australia,9,68497.17085928761,24,90.44720666762322,Bachelor's,Not Certified
Australia,19,129815.56563606551,38,79.1118242098114,PhD,Not Certified
France,5,55276.75240581998,9,77.20960028770935,Diploma,Certified
Brazil,18,81908.76571462874,1,57.124507137192936,Diploma,Not Certified
UK,15,58403.563251731015,5,98.80939173109851,Diploma,Not Certified
Brazil,17,109873.67977369636,14,78.17650512842168,Master's,Certified
Brazil,15,77396.8064784319,23,64.55984241197719,Diploma,Not Certified
Canada,14,95893.59270398796,26,65.82434889303069,Master's,Not Certified
Australia,19,137362.72397993042,47,69.11061617805157,PhD,Not Certified
UK,1,79852.09386318145,39,82.29158115423589,PhD,Certified
Canada,3,46835.93956715844,17,95.47794936936741,Diploma,Certified
Brazil,12,113116.65354884129,21,89.15586139814275,Master's,Certified
Brazil,14,103491.49913327883,23,54.45765595970847,Master's,Certified
Brazil,2,83372.4865063202,17,88.4470906230437,PhD,Not Certified
France,15,71437.73334915143,17,83.0850447079958,Diploma,Not Certified
Canada,6,48276.697618320824,16,90.52545302477404,Diploma,Certified
France,10,74118.90124477094,16,88.19550506793783,Bachelor's,Certified
South Africa,16,139369.2475884844,35,90.68118387330107,PhD,Certified
France,9,99503.39558243945,17,59.18656586029562,PhD,Certified
Australia,16,113898.87602862285,33,77.83476643864164,PhD,Certified
Canada,7,78171.6905820341,37,73.99443028047124,Master's,Certified
India,13,105401.3113503288,6,57.393584697167206,Master's,Not Certified
Australia,22,77034.46583736106,22,86.11316841498544,Diploma,Not Certified
Brazil,4,73085.0979166655,42,73.85388521361064,PhD,Not Certified
Australia,16,114377.94824304432,41,69.94167271805279,Master's,Not Certified
Brazil,19,66197.02656804635,46,61.84318123890398,Diploma,Not Certified
Brazil,8,62997.64284056956,43,90.67094387623135,Diploma,Certified
USA,10,115123.60032861623,11,75.41300383960423,PhD,Certified
France,13,94997.99157903867,3,89.51743110604487,Master's,Not Certified
UK,19,69973.57769799168,40,73.30069718079356,Diploma,Certified
Brazil,14,124521.64880482212,44,85.04914086932288,PhD,Certified
Canada,4,56279.77515851606,14,69.09518701154747,Bachelor's,Not Certified
USA,7,85912.40979882816,27,59.93269320819934,PhD,Not Certified
Germany,17,83218.74637067529,18,75.74636647633793,Bachelor's,Not Certified
Australia,15,123198.92751025569,20,63.337794408206946,PhD,Not Certified
India,17,77442.49255415768,15,56.92339268089466,Diploma,Certified
Brazil,20,136611.3201640508,51,94.00165790768574,PhD,Certified
Australia,18,139764.85691789284,38,71.64521892259803,PhD,Certified
UK,13,104064.79919212809,43,98.35237716777635,Master's,Not Certified
Canada,13,68502.44197739271,42,50.8552381881227,Diploma,Not Certified
Germany,11,95989.84155160394,46,89.38974777088909,Master's,Certified
Australia,4,90964.7267964507,15,68.89578223563376,PhD,Certified
China,12,82308.46432929602,48,68.77774761040912,Bachelor's,Certified
Australia,10,111833.78274413334,7,82.16192714227338,PhD,Not Certified
Brazil,2,44534.22919444851,46,86.93618284889229,Diploma,Not Certified
Australia,20,85575.67611280936,44,57.91739229026704,Bachelor's,Not Certified
Brazil,22,96164.66604970155,22,78.51841485460007,Bachelor's,Not Certified
Germany,17,85806.90780989693,31,74.98231149044743,Bachelor's,Certified
USA,7,74935.01444969933,36,90.02332089112605,Bachelor's,Not Certified
India,16,107041.89962736733,36,55.689377775304855,Master's,Not Certified
USA,7,113893.55691040437,3,89.04576338422626,PhD,Not Certified
Brazil,12,63193.48578984116,12,87.91550636278927,Diploma,Certified
Germany,3,78060.37813228469,27,100.0,PhD,Not Certified
Australia,12,108154.26980001155,23,78.33763083245067,PhD,Not Certified
France,9,43695.45183699605,38,62.624604150700044,Diploma,Certified
South Africa,19,79103.40978490943,13,74.52870808645343,Diploma,Not Certified
USA,14,87224.49619115447,12,79.86297946566357,Bachelor's,Certified
Australia,19,104748.56751297548,5,84.85911003947786,Bachelor's,Certified
France,15,65238.20584522086,8,58.67263092452154,Diploma,Not Certified
Germany,8,59928.310388852406,42,61.39467479768767,Diploma,Certified
USA,20,107511.17840454831,9,54.25466516787262,Bachelor's,Certified
Brazil,14,80919.53408430042,14,83.83321582870954,Bachelor's,Not Certified
Australia,5,66935.50294469131,24,93.1921099090723,Bachelor's,Not Certified
USA,0,74189.22955699323,8,58.89864353442431,Master's,Certified
UK,3,63822.667785674224,36,65.32782088315959,Bachelor's,Certified
UK,13,61776.7688457657,13,53.04465302561938,Diploma,Not Certified
Canada,18,122376.22415319481,19,59.70874312961349,Master's,Certified
USA,15,93268.82982981544,28,100.0,Bachelor's,Certified
France,11,92756.47191355067,44,83.91446365754243,Master's,Certified
USA,18,30000.0,46,50.0,,Not Certified
Australia,10,66973.78614828615,5,94.37299577549761,Diploma,Certified
Australia,3,48264.97144359225,12,60.87234040836669,Diploma,Not Certified
France,9,100024.50785951412,20,62.54806912627195,PhD,Certified
Germany,16,101442.53113381335,15,95.43234084617912,Master's,Certified
South Africa,3,80993.98449834717,21,78.6970257427719,PhD,Not Certified
USA,8,107966.79363683453,27,82.73280025472874,PhD,Certified
Australia,14,88236.3633361374,5,71.44240833143365,Bachelor's,Not Certified
UK,11,68304.29358969549,10,96.53145568400559,Diploma,Certified
Australia,7,70460.20075545422,46,53.82611101565861,Master's,Certified
India,3,69737.81226870739,44,57.46737637299912,Master's,Certified
Australia,5,66043.53462010485,38,96.00246247905511,Bachelor's,Not Certified
Australia,8,62552.38859328726,29,50.0,Diploma,Not Certified
Canada,18,122965.78696050748,18,61.0068094177026,Master's,Certified
India,10,88554.85511998385,11,51.641957509199926,Master's,Not Certified
China,10,103566.92751151673,1,95.63272895499675,Master's,Not Certified
USA,6,51581.41301305798,24,89.74957254061086,Diploma,Not Certified
France,7,56887.75809119782,6,85.66264432472514,Bachelor's,Not Certified
Australia,4,47876.491469755885,29,68.04070211248796,Diploma,Not Certified
Brazil,16,74756.21000840275,5,84.16395193965174,Bachelor's,Not Certified
Canada,11,55530.12793023876,38,91.09849552756889,Diploma,Not Certified
France,10,108945.3184514654,40,70.48176129342741,PhD,Not Certified
India,9,70689.53586545367,46,96.2447123582799,Bachelor's,Not Certified
USA,12,81588.27931649477,5,87.1850364809461,Bachelor's,Certified
USA,1,65984.97493758138,36,84.12566337117136,Master's,Certified
China,7,85652.38839519417,34,50.358417118557526,Master's,Not Certified
China,20,111322.04671773982,12,70.44554534923975,Master's,Certified
France,11,59515.27074820129,38,52.85702197303012,Diploma,Not Certified
Australia,11,93725.04765768112,27,78.85722590171628,Master's,Certified
South Africa,9,109192.31034832797,43,62.30043283813035,PhD,Not Certified
Germany,4,46106.809200256466,1,83.43695737383354,Diploma,Certified
France,8,50543.64894370663,20,61.226002564044514,Diploma,Certified
Germany,10,50843.38467928492,38,56.33972808948034,Diploma,Certified
UK,2,76535.33748595807,20,52.53555787625565,PhD,Certified
UK,11,80854.70996452618,16,69.38301316250522,Bachelor's,Certified
USA,17,73281.21535190975,45,60.09277501054455,Diploma,Not Certified
Germany,3,82022.5866004583,22,90.5947446258867,PhD,Certified
Australia,15,66124.28988371468,39,100.0,Diploma,Certified
France,16,76388.38742379584,17,78.64015901155562,Diploma,Not Certified
South Africa,16,119730.98699516882,9,92.82953226097408,PhD,Certified
India,3,60477.028494961014,30,73.90793964491566,Diploma,Not Certified
UK,20,139331.3121152278,16,62.55884260326437,PhD,Not Certified
France,12,63520.397529988964,41,66.40706731501221,Diploma,Not Certified
Canada,8,98151.44993158143,4,81.4039728335651,PhD,Certified
Germany,19,80062.31122869688,20,63.066166777582026,Diploma,Certified
Canada,14,88505.27675781077,45,73.19514326270313,Bachelor's,Not Certified
Canada,17,112536.31822068559,41,72.66432272155207,Master's,Not Certified
UK,13,70669.4951841389,7,100.0,Diploma,Not Certified
UK,4,65340.66806434292,3,87.01264983365888,Bachelor's,Not Certified
South Africa,18,121882.4289377034,25,87.31694671457007,PhD,Not Certified
India,20,125026.66222583686,37,65.13829337049283,Master's,Not Certified
France,10,99661.40704853946,2,86.2589149988063,Master's,Not Certified
France,6,56360.77743290062,40,59.62741551649531,Diploma,Certified
France,4,88923.23858306771,10,97.49512027574995,PhD,Certified
France,13,117131.45148091085,47,60.86066438727476,PhD,Certified
India,6,81681.790520099,3,90.87878190278245,Master's,Not Certified
UK,5,69514.5771274892,29,86.28426038700019,PhD,Not Certified
France,5,84134.1459231328,9,90.47612983520311,Master's,Certified
Germany,3,62639.19564872819,48,66.19744645294008,Bachelor's,Not Certified
USA,10,88668.35931818075,39,73.86105676107684,Master's,Not Certified
USA,0,31148.118449108668,25,95.3818605241686,Diploma,Certified
India,15,115233.36055423482,40,78.34215130183453,Master's,Certified
Canada,11,55601.629807963895,9,84.53044049533419,Diploma,Not Certified
France,18,88866.17429371171,12,64.7066756462144,Diploma,Not Certified
India,17,60033.54727544365,16,52.859124755838096,Diploma,Certified
China,17,114266.48086646204,47,74.7398720557152,Master's,Not Certified
USA,19,75227.07862490925,30,81.95207892208174,Diploma,Certified
India,9,57094.57695195014,49,91.98354630532295,Bachelor's,Not Certified
South Africa,6,84611.59639561373,7,69.23858983356058,Master's,Certified
Brazil,5,54972.295862196,45,60.84275652841674,Bachelor's,Not Certified
UK,10,102594.4548144317,29,52.86590584805781,PhD,Not Certified
UK,6,91072.36740023996,37,75.01417761039276,PhD,Certified
Germany,17,74843.90099865494,41,59.502096703390954,Diploma,Not Certified
India,18,30000.0,42,50.0,,Not Certified
Brazil,13,81814.46219732575,14,80.65298852638645,Bachelor's,Certified
Canada,11,102582.93194775085,25,83.73225623562588,Master's,Not Certified
India,21,104255.61805245915,25,96.61664507707039,Bachelor's,Not Certified
India,17,109215.03347307762,44,91.47592763695513,Master's,Certified
UK,1,74916.29638483252,22,52.23311689531926,PhD,Certified
Brazil,12,75220.97120832324,14,79.73340708095822,Diploma,Not Certified
Brazil,3,69779.20622703592,12,50.65800115156636,PhD,Not Certified
USA,9,106172.09262358243,41,75.13258629212626,PhD,Not Certified
Canada,2,77404.34329193362,36,75.16528950253038,PhD,Certified
Australia,14,107913.34817121518,46,61.121803090825004,Master's,Not Certified
Canada,16,64404.249297539376,15,57.22332952471976,Diploma,Certified
Canada,19,65858.73463356256,34,93.79217448768411,Diploma,Not Certified
France,10,99432.64991229845,24,90.75870505354307,Master's,Certified
Canada,5,51666.543668230275,25,64.69130298993294,Diploma,Not Certified
USA,10,92878.39857932592,12,69.04432097648221,Master's,Not Certified
UK,10,114212.71668032737,1,53.624469871627774,PhD,Certified
UK,5,59174.53662060085,5,84.01910319271467,Bachelor's,Certified
South Africa,15,95823.14042003565,33,65.27804886270955,Bachelor's,Not Certified
UK,17,121724.14207641818,19,91.38840245523821,PhD,Certified
USA,1,40934.482717461695,21,66.9518013465824,Diploma,Not Certified
USA,8,85304.7568365395,45,59.41533450031096,Master's,Not Certified
USA,6,90320.0938076863,42,57.543318994102385,PhD,Certified
Brazil,7,76535.9776026461,44,91.37556320076726,Bachelor's,Certified
India,2,60617.684805720775,1,60.27319887632443,Bachelor's,Certified
India,22,125396.73341672821,11,55.96989949685425,Master's,Certified
France,12,96104.53829116577,37,81.33236539304258,Bachelor's,Certified
China,14,116491.27125901156,42,70.10880043812568,Master's,Certified
USA,10,66069.99283784899,47,73.89939366283765,Diploma,Certified
South Africa,0,73180.2209445656,37,100.0,PhD,Certified
Brazil,6,73723.57460003825,11,63.812856401239074,Master's,Certified
USA,7,85722.49344793694,28,69.10232285087162,PhD,Not Certified
USA,12,86478.52564914057,11,80.43116334671514,Bachelor's,Certified
China,12,77816.64149640343,45,66.89551325546701,Bachelor's,Certified
Germany,17,78916.6110327341,21,74.54250987911134,Bachelor's,Not Certified
UK,9,110675.31773439415,45,89.69070951743623,PhD,Certified
UK,16,118179.84997982747,45,95.96027769991612,Master's,Certified
USA,13,104096.61429235077,11,70.60164353310677,Master's,Not Certified
USA,12,96355.87596817526,8,71.52118828942628,Master's,Not Certified
USA,3,43623.80898753181,21,94.29008753474012,Diploma,Certified
France,4,62119.72500669089,4,51.8788098676574,Bachelor's,Not Certified
UK,4,36512.64877667852,50,73.42621181155339,Diploma,Not Certified
China,11,74910.51981372299,8,68.15403847782578,Bachelor's,Certified
China,16,67765.82099743247,31,91.01778106887623,Diploma,Not Certified
Canada,7,77455.89914092617,2,56.19708290532609,Bachelor's,Not Certified
Brazil,3,45891.05783150771,10,89.86937475659978,Diploma,Not Certified
China,6,95944.46736410396,25,78.80354190698634,PhD,Certified
Australia,14,122156.51606567859,47,90.77988423892101,PhD,Certified
UK,16,78553.87742513239,22,63.0697276345941,Diploma,Certified
South Africa,15,101463.35419377324,34,63.0447796039419,Bachelor's,Not Certified
India,14,102489.87445162752,42,86.3449610622584,Master's,Not Certified
China,16,103205.79170036447,22,81.42822462354643,Master's,Not Certified
Australia,9,61798.36812874333,16,60.04849067680277,Diploma,Not Certified
France,20,75391.12499329835,6,99.29453738709708,Diploma,Not Certified
South Africa,7,30000.0,36,50.0,,Certified
South Africa,13,86896.42281967234,11,92.83075176779793,Master's,Certified
Brazil,8,84756.8409990858,8,94.87168389516818,Master's,Not Certified
India,17,116816.84570127145,38,80.46183130418439,PhD,Certified
India,22,125037.88303077733,42,89.12944048861921,Master's,Certified
South Africa,6,63977.48128404438,35,77.87905566652518,Diploma,Certified
UK,19,82312.45556088466,51,96.30306191049091,Diploma,Certified
Australia,13,90543.03814186335,11,53.30906737292864,Master's,Not Certified
Germany,18,139539.30774903187,35,57.760384372070064,PhD,Not Certified
China,14,61994.728428299844,41,77.83185678019996,Diploma,Certified
Brazil,15,76666.16100121674,29,51.52090239346485,Bachelor's,Certified
UK,18,126068.79059697237,1,70.37650819645867,Master's,Certified
South Africa,18,138997.03094843688,21,84.33312524995391,PhD,Not Certified
South Africa,15,109178.41990679767,23,60.39021115268606,Master's,Certified
UK,0,45260.889285629084,31,69.4065160603322,Diploma,Not Certified
India,6,99054.520314999,36,97.04202564060692,PhD,Certified
Brazil,19,129470.90458131532,19,75.0893410366684,Master's,Not Certified
Germany,15,128461.8370189695,3,77.01731342585666,PhD,Not Certified
Canada,4,73804.97628007691,32,74.74300222398017,PhD,Certified
China,3,67230.58706658818,6,76.8405904189876,Master's,Not Certified
USA,3,39580.669787094426,23,73.30519610943382,Diploma,Not Certified
India,5,91279.48224198079,42,58.003001548672195,PhD,Not Certified
South Africa,9,87875.46681876153,8,69.47073749770759,Master's,Certified
South Africa,2,86787.00817397203,9,96.44337709623011,PhD,Certified
India,19,123544.81593256438,10,73.83252106778095,Master's,Not Certified
UK,15,76017.93330288985,46,90.87117717865425,Diploma,Certified
Australia,7,87078.14624745144,25,63.367344207616405,PhD,Not Certified
Germany,10,65240.795548691,20,50.97700881719619,Diploma,Not Certified
India,11,110036.4396661245,13,54.36089946734536,PhD,Not Certified
Germany,11,66745.49433709476,37,73.88984322413786,Diploma,Certified
South Africa,16,66422.22457601293,48,83.03733742555723,Diploma,Certified
UK,3,76202.3638361818,27,58.82671327848908,PhD,Not Certified
Canada,16,135346.86433051885,51,85.46417356258699,PhD,Certified
France,10,100845.1202642496,22,72.16059095663572,PhD,Certified
France,8,67519.93516339519,38,91.24919070440636,Diploma,Not Certified
USA,17,109713.84560479377,26,69.92864017277168,Master's,Not Certified
India,13,60878.423191353926,26,59.47282471668034,Diploma,Not Certified
UK,6,84631.5034495096,41,99.80206653950002,Master's,Certified
Brazil,2,66515.39927113395,26,98.6245068088407,Master's,Certified
India,6,71304.6740904552,19,76.89536912649707,Bachelor's,Certified
South Africa,2,83560.23774592123,43,83.99081894105015,PhD,Certified
Canada,19,115924.87906326003,17,50.0,Master's,Certified
China,10,87498.88913982543,52,56.20173655018374,Master's,Certified
Australia,10,54700.63738490447,6,87.15738159403915,Diploma,Not Certified
China,10,101270.38654750804,8,64.74726268905353,Master's,Not Certified
China,21,115612.83910904589,13,76.40789602267108,Master's,Not Certified
France,13,71580.40707387278,29,55.8674462813541,Bachelor's,Not Certified
South Africa,9,102288.54947221976,1,72.10641479905269,Master's,Not Certified
India,17,111149.56493168091,45,75.9176241400869,Master's,Certified
China,16,109994.33996383184,20,88.0829756610644,Master's,Not Certified
Brazil,6,86776.93396831243,12,65.82746272862559,PhD,Certified
UK,10,55074.26386834544,45,53.98816195847155,Diploma,Certified
Germany,16,80248.70911430345,22,75.38195844427139,Bachelor's,Not Certified
Australia,9,50039.00150802505,40,77.02705491948468,Diploma,Not Certified
Canada,22,85175.40497093528,28,63.52686528619442,Diploma,Certified
France,15,61877.21534109421,18,86.34388463379926,Diploma,Not Certified
USA,4,68745.16367644687,25,50.0,Bachelor's,Not Certified
Canada,18,70691.02928396818,40,52.276208788730436,Diploma,Certified
USA,15,113834.82161682403,24,73.52131075713734,Master's,Not Certified
UK,18,138431.97672475953,34,80.9398638703197,PhD,Certified
France,11,91309.64124344045,49,82.22892779243467,Master's,Not Certified
Brazil,11,68581.47461609819,50,87.48202538092727,Diploma,Not Certified
Australia,10,98033.3240741337,21,71.49446508161911,Master's,Not Certified
Canada,6,88037.26349129592,46,62.39683985503064,PhD,Certified
Australia,12,88420.96201168421,7,62.745549875739755,Bachelor's,Certified
UK,5,89672.17897841659,25,68.31190075860633,PhD,Certified
UK,14,100740.32994935944,33,50.0,Master's,Certified
Germany,4,75468.21791485036,20,56.96704000120471,PhD,Not Certified
Canada,12,58533.94935937466,34,92.71709802781929,Diploma,Not Certified
Germany,14,113330.6171778568,37,86.87458748785097,PhD,Not Certified
UK,14,80568.9350784621,11,61.1912821626229,Diploma,Certified
India,18,120346.02224980452,38,80.84744285745262,Master's,Certified
UK,5,87166.30720267583,21,76.07246031555249,PhD,Certified
South Africa,19,81845.09615809013,20,65.63465331162166,Diploma,Certified
India,1,54747.39344601337,40,50.557518433020846,Diploma,Not Certified
Brazil,15,128692.7482886829,32,92.54176153419085,Master's,Certified
France,1,61851.77139566691,16,60.63157789139453,Bachelor's,Not Certified
Brazil,20,147153.05910958166,49,89.32901470193873,PhD,Certified
Australia,9,100219.92569298207,7,86.0166237786317,PhD,Certified
Canada,11,62159.05762939256,12,85.62000229235488,Diploma,Not Certified
France,17,126053.60690754869,41,91.90762912654836,PhD,Certified
South Africa,7,105438.7247326664,42,76.69708108709688,PhD,Certified
Canada,15,118119.3293855707,36,96.19207094840014,Master's,Not Certified
China,19,101493.99751944863,47,50.48428826722218,Bachelor's,Certified
Germany,13,108530.29004788747,37,86.53661504533677,PhD,Not Certified
India,6,69400.42637628251,25,95.71388052334945,Bachelor's,Not Certified
China,13,110152.1860198881,14,53.914768065342344,Master's,Certified
France,20,121923.86257894685,24,87.82580745482778,PhD,Not Certified
Canada,18,76692.45743035073,41,77.44332601612994,Diploma,Certified
France,0,74273.56970119612,11,62.92325009352806,PhD,Certified
China,9,72923.20723430972,31,51.79915482178007,Bachelor's,Not Certified
USA,12,86449.45194906468,28,61.78476153317846,Bachelor's,Certified
India,4,64848.95546628073,10,61.83129503464373,Master's,Certified
USA,11,70510.5772144694,47,78.1511810468047,Diploma,Certified
Canada,9,88718.72912369765,35,100.0,PhD,Certified
India,5,69153.11447606336,49,53.9606601071493,Master's,Certified
Canada,17,115012.32902718357,27,61.98089098973553,Master's,Not Certified
China,1,57312.92655010725,17,55.23182610980249,Master's,Certified
Australia,11,83738.99059722036,14,57.36989004261435,Master's,Not Certified
Brazil,3,69301.43717637727,31,76.48109285527786,Master's,Certified
UK,20,95936.17975716086,16,67.35714354110246,Bachelor's,Not Certified
UK,1,67046.5504373837,42,76.3126637835742,Master's,Not Certified
Brazil,3,64531.65695266548,26,59.495303526851515,Bachelor's,Certified
Canada,12,68747.31805077277,48,61.25289263508338,Bachelor's,Certified
UK,10,115328.17788307667,23,50.415440307115496,PhD,Certified
China,13,119765.60924519172,1,68.53798437980609,PhD,Certified
Brazil,13,81369.4329773142,30,55.07860978509192,Bachelor's,Certified
USA,17,77703.95867642747,9,74.96879220720099,Diploma,Certified
South Africa,7,30000.0,38,50.0,,Certified
China,5,85276.3262186484,44,100.0,Master's,Not Certified
Brazil,12,105842.13027786247,51,81.52680729347263,Master's,Not Certified
France,20,30000.0,25,50.0,,Not Certified
Australia,22,141427.86465832405,21,76.56302114797273,PhD,Certified
India,4,56355.28864260145,34,74.84759810965319,Bachelor's,Not Certified
UK,0,77329.5777944735,37,95.74317741460338,PhD,Not Certified
Germany,16,77499.00305977913,29,72.33533599473166,Diploma,Not Certified
France,11,89554.28926466548,42,81.08361664032603,Master's,Not Certified
USA,13,30000.0,33,50.0,,Certified
Canada,14,88910.0885270481,44,86.85310023316117,Bachelor's,Certified
Germany,18,128277.45108927433,20,57.341620487206626,PhD,Not Certified
Germany,12,105006.2884407929,44,91.29491476739875,Master's,Certified
Brazil,11,60349.59859415041,38,87.27421940612548,Diploma,Certified
Brazil,10,59852.49171314571,42,91.19456005896023,Diploma,Certified
France,14,84731.49371461352,10,69.0989467838627,Bachelor's,Certified
India,11,57137.902616798856,29,61.49508301691211,Diploma,Not Certified
Australia,5,69534.2059328901,26,84.06464884425523,Bachelor's,Not Certified
UK,13,115733.07651481929,20,95.1076346179088,PhD,Certified
India,4,36137.000775419925,38,50.0,Diploma,Not Certified
USA,16,70116.6670807776,43,64.47795102072995,Diploma,Not Certified
USA,13,66886.94705611335,12,72.79118001685427,Diploma,Not Certified
Germany,18,128119.00900340317,41,67.05514199125741,PhD,Certified
Germany,19,139604.31172903962,15,82.65815356520513,PhD,Certified
South Africa,7,84997.42935891432,46,53.70846305177535,Master's,Certified
Germany,1,71232.17036883016,14,60.484386349636345,PhD,Certified
China,6,76971.27661817428,4,97.11665882251211,PhD,Certified
UK,6,50271.30055017684,29,69.45604305750747,Diploma,Certified
France,9,94902.18093983602,29,54.68266500777537,PhD,Not Certified
UK,8,100405.6313022555,43,72.86794336145685,PhD,Certified
Canada,5,53517.871704876285,23,72.02318281784035,Bachelor's,Certified
Canada,16,138200.30170921035,31,100.0,PhD,Not Certified
Australia,2,79085.53480709033,24,92.94086935579571,PhD,Certified
Canada,4,61109.901774172984,14,67.19630729170397,Bachelor's,Not Certified
Germany,10,104363.51439013836,32,82.46567826211053,PhD,Certified
Brazil,6,42864.28197775633,5,96.43862633313712,Diploma,Certified
USA,6,90111.37190212439,48,63.48694202228327,PhD,Certified
China,8,66564.19320985686,51,84.85570873185092,Bachelor's,Certified
India,18,76717.67043497434,17,54.10721475207768,Diploma,Certified
UK,13,88395.31380337416,22,99.45130508552577,Bachelor's,Certified
China,8,72123.97601931177,47,81.35803278702993,Bachelor's,Certified
Australia,3,70511.27703267559,26,91.57430588337897,Bachelor's,Not Certified
USA,14,117422.89806866714,17,80.59166407943115,Master's,Not Certified
UK,16,74262.90118147197,15,56.29632824461035,Diploma,Not Certified
Brazil,4,45075.87855295659,12,91.83217239432604,Diploma,Not Certified
China,10,71113.94812109972,16,57.35541967719866,Bachelor's,Not Certified
France,13,83655.06456375425,33,83.24363570982084,Bachelor's,Not Certified
Brazil,1,40938.374264349106,29,50.0,Diploma,Not Certified
USA,6,82916.43930632209,41,61.16499657626698,Master's,Not Certified
Canada,16,85672.56263233308,10,55.71152375344971,Bachelor's,Not Certified
Canada,16,112797.45388775246,16,92.24932654802889,Master's,Not Certified
Germany,13,71361.98114281519,13,91.08342477938389,Bachelor's,Not Certified
South Africa,15,107771.89729974838,11,96.34893148751421,PhD,Certified
Canada,15,113914.86923651179,29,91.69541183881948,PhD,Certified
Australia,14,103915.01167016481,7,84.90661871041262,PhD,Not Certified
USA,10,103983.01432166442,43,59.37894779500907,PhD,Not Certified
Canada,16,66749.13930718909,25,59.43880556957767,Diploma,Certified
China,5,62960.847785178485,21,97.05006566146737,Bachelor's,Certified
Australia,7,96415.68145569824,44,74.11799798406672,PhD,Certified
China,12,104244.35252058617,5,64.69792950795447,Master's,Certified
India,16,136218.80920529456,23,67.54846196084758,PhD,Certified
China,18,76707.57941782213,42,68.71344191144297,Diploma,Not Certified
Brazil,18,121788.53767023035,9,70.54334466466378,Master's,Not Certified
France,11,93194.67554678912,8,88.09460129627676,Master's,Not Certified
UK,11,95917.63680335818,33,62.63180089759325,Master's,Not Certified
France,5,93546.16342041288,5,93.59064017268005,PhD,Certified
India,17,133640.37696983278,18,64.28712504052609,PhD,Certified
Brazil,15,88484.59626063876,8,71.05050486939496,Bachelor's,Not Certified
USA,7,67384.34995860577,4,74.75491060407842,Bachelor's,Not Certified
France,10,64870.949373803116,37,87.27474519358607,Diploma,Not Certified
China,14,63415.64165614099,6,58.98330552518304,Diploma,Certified
France,14,64367.94417318988,27,75.91486688095058,Diploma,Not Certified
China,12,83345.48183800677,4,66.97413364800498,Bachelor's,Certified
Australia,15,78816.66453457419,28,80.91471894200178,Bachelor's,Not Certified
USA,7,30000.0,20,50.0,,Not Certified
South Africa,20,77406.99968379471,18,74.2223030134471,Diploma,Not Certified
Canada,11,76760.24421312056,50,51.92648290422126,Master's,Certified
UK,17,134400.86523483047,27,91.44524072089953,PhD,Certified
Australia,17,73080.50494589112,1,100.0,Diploma,Not Certified
India,7,42967.250512738094,21,95.6662732558168,Diploma,Not Certified
France,9,81807.43078902639,6,92.3646385545925,Master's,Not Certified
Canada,15,80573.01680181314,25,60.54157440770227,Diploma,Certified
USA,7,30000.0,9,50.0,,Certified
South Africa,12,87678.08187611919,35,60.41739969403232,Bachelor's,Not Certified
Australia,6,97960.22287292525,9,58.13758383091831,PhD,Certified
